Instructor,Sub,Crse,Day,Time
lil,ART,485,MW,04:00 pm-06:45 pm
greener,ART,485,MW,04:00 pm-06:45 pm
rahmanifara,ART,485,MW,04:00 pm-06:45 pm
doylem,ART,486, ,TBA
chent,ART,487, ,TBA
rahmanifara,ART,490, ,TBA
chent,ART,490, ,TBA
doylem,ART,490, ,TBA
kerrm,AST,214,TR,09:30 am-10:45 am
kerrm,AST,214,T,11:00 am-12:00 pm
kerrm,AST,214,R,11:00 am-12:00 pm
hulveyj,BIO,120,MWF,11:00 am-11:50 am
hulveyj,BIO,120,M,02:00 pm-04:50 pm
lauxd,BIO,140,MWF,09:00 am-09:50 am
lauxd,BIO,140,W,02:00 pm-04:50 pm
murdochb,BIO,140,R,09:30 am-12:20 pm
wasielewskit,BIO,200,TR,09:30 am-10:45 am
wasielewskit,BIO,200,TR,11:00 am-12:15 pm
lucink,BIO,204,TR,11:00 am-12:15 pm
lucink,BIO,204,TR,12:30 pm-01:45 pm
pasinij,BIO,204,TR,08:00 am-09:15 am
pasinij,BIO,204,TR,09:30 am-10:45 am
jacobsm,BIO,204,M,04:00 pm-06:45 pm
jacobsm,BIO,204,TR,05:30 pm-06:45 pm
grotha,BIO,210,MWF,10:00 am-10:50 am
connollyb,BIO,222,MWF,11:00 am-11:50 am
connollyb,BIO,222,R,09:30 am-12:20 pm
grotha,BIO,230,MWF,11:00 am-11:50 am
grotha,BIO,230,M,02:00 pm-04:50 pm
mattinglyb,BIO,240,MWF,10:00 am-10:50 am
mattinglyb,BIO,240,T,11:00 am-01:50 pm
lucink,BIO,280, ,TBA
idjadij,BIO,280, ,TBA
cowlese,BIO,301,T,04:00 pm-06:45 pm
murdochb,BIO,302,T,09:30 am-11:20 am
murdochb,BIO,302,T,12:30 pm-02:20 pm
veerappanv,BIO,304,MWF,09:00 am-09:50 am
veerappanv,BIO,304,MWF,10:00 am-10:50 am
grahamm,BIO,305,MWF,01:00 pm-01:50 pm
kwakuk,BIO,305,T,04:00 pm-06:45 pm
gyurem,BIO,314,R,09:30 am-11:20 am
gyurem,BIO,314,R,12:30 pm-02:20 pm
gyurem,BIO,314,R,04:00 pm-05:50 pm
mattinglyb,BIO,319,T,09:00 am-10:50 am
eppk,BIO,319,T,09:00 am-10:50 am
idjadij,BIO,319,T,09:00 am-10:50 am
mattinglyb,BIO,320, ,TBA
eppk,BIO,320, ,TBA
idjadij,BIO,320, ,TBA
hulveyj,BIO,334,MWF,09:00 am-09:50 am
hulveyj,BIO,334,W,02:00 pm-04:50 pm
grahamm,BIO,336,MWF,12:00 pm-12:50 pm
grahamm,BIO,336,R,11:00 am-01:50 pm
lucink,BIO,350,MWF,10:00 am-10:50 am
lucink,BIO,350,M,02:00 pm-04:50 pm
lucink,BIO,380, ,TBA
grotha,BIO,380, ,TBA
connollyb,BIO,380, ,TBA
grahamm,BIO,380, ,TBA
eppk,BIO,380, ,TBA
hulveyj,BIO,380, ,TBA
murdochb,BIO,380, ,TBA
lauxd,BIO,380, ,TBA
idjadij,BIO,380, ,TBA
cowlese,BIO,424,MWF,10:00 am-10:50 am
cowlese,BIO,424,T,09:30 am-12:20 pm
connollyb,BIO,438,MWF,01:00 pm-01:50 pm
connollyb,BIO,438,R,02:00 pm-04:50 pm
veerappanv,BIO,460,MWF,12:00 pm-12:50 pm
veerappanv,BIO,460,R,09:30 am-12:20 pm
lauxd,BIO,462,MWF,11:00 am-11:50 am
lauxd,BIO,462,M,02:00 pm-04:50 pm
eppk,BIO,466,M,02:00 pm-04:50 pm
eppk,BIO,466,W,02:00 pm-04:50 pm
lucink,BIO,480, ,TBA
veerappanv,BIO,480, ,TBA
grahamm,BIO,480, ,TBA
eppk,BIO,480, ,TBA
hulveyj,BIO,480, ,TBA
murdochb,BIO,480, ,TBA
lauxd,BIO,480, ,TBA
connollyb,BIO,480, ,TBA
lauxd,BIO,490, ,TBA
murdochb,BIO,490, ,TBA
grotha,BIO,490, ,TBA
lucink,BIO,490, ,TBA
mattinglyb,BIO,490, ,TBA
connollyb,BIO,490, ,TBA
gyurem,BIO,490, ,TBA
murdochb,BIO,491, ,TBA
veerappanv,BIO,491, ,TBA
lucink,BIO,491, ,TBA
hulveyj,BIO,491, ,TBA
perryk,BUS,201,MWF,10:00 am-10:50 am
erwinc,BUS,201,TR,09:30 am-10:45 am
erwinc,BUS,201,TR,11:00 am-12:15 pm
synnottc,BUS,201,MWF,09:00 am-09:50 am
norvaln,BUS,201,T,04:00 pm-06:45 pm
perryk,BUS,201,MWF,11:00 am-11:50 am
norvaln,BUS,201,TR,02:00 pm-03:15 pm
aventa,BUS,225,MWF,12:00 pm-12:50 pm
halls,BUS,225,W,04:00 pm-06:45 pm
aventa,BUS,225,MWF,10:00 am-10:50 am
nardellas,BUS,225,TR,12:30 pm-01:45 pm
nardellas,BUS,225,TR,02:00 pm-03:15 pm
grosjeanb,BUS,225,TR,11:00 am-12:15 pm
chattertonc,BUS,240,MWF,09:00 am-09:50 am
dewildea,BUS,250,M,04:00 pm-06:45 pm
dewildea,BUS,250,MWF,10:00 am-10:50 am
dewildea,BUS,301,MWF,09:00 am-09:50 am
buckw,BUS,301,TR,09:30 am-10:45 am
buckw,BUS,301,TR,11:00 am-12:15 pm
dewildea,BUS,301,MWF,12:00 pm-12:50 pm
villanuevae,BUS,307,MWF,12:00 pm-12:50 pm
moylanw,BUS,321,MW,04:00 pm-05:15 pm
moylanw,BUS,325,MW,05:30 pm-06:45 pm
grosjeanb,BUS,326,T,07:00 pm-09:45 pm
kangm,BUS,327,TR,02:00 pm-03:15 pm
erwinc,BUS,331,T,07:00 pm-09:45 pm
ferrarol,BUS,333,M,04:00 pm-06:45 pm
chattertonc,BUS,340,R,09:30 am-12:15 pm
kaneg,BUS,342,MWF,12:00 pm-12:50 pm
kaneg,BUS,342,MWF,10:00 am-10:50 am
buckw,BUS,351,TR,02:00 pm-03:15 pm
buckw,BUS,351,TR,04:00 pm-05:15 pm
pakdilf,BUS,410,W,04:00 pm-06:45 pm
kaneg,BUS,411,MWF,01:00 pm-01:50 pm
grandhis,BUS,428,TR,12:30 pm-01:45 pm
kangm,BUS,429,W,04:00 pm-06:45 pm
ohn,BUS,431,TR,12:30 pm-01:45 pm
ohn,BUS,431,TR,09:30 am-10:45 am
erwinc,BUS,431,TR,02:00 pm-03:15 pm
deckerg,BUS,436,T,07:00 pm-09:45 pm
villanuevae,BUS,450,MWF,08:00 am-08:50 am
pakdilf,BUS,480, ,TBA
buckw,BUS,480, ,TBA
villanuevae,BUS,480, ,TBA
kaneg,BUS,480, ,TBA
grandhis,BUS,480, ,TBA
